Tweet,polarity,subjectivity,Sentiment
RT @ChkLil: So if #Ukraine attacked Poland does NATO now need to attack Ukraine? 🤔,0.0,0.0,Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
@statsjamie Spending cuts - I can guarantee they will only affect Brits.  Money spent on migrant benefits will cont… https://t.co/Dw08qb2buB,-0.05,0.55,Positive
RT @OstapYarysh: ‼️ Gen. Mark Milley: #Ukraine is a pretty big country. The probability of Russia achieving its strategic objectives of con…,0.125,0.55,Negative
"RT @RonPaul: Did Ukraine Try To Lie Us Into WWIII? - today on the Liberty Report:
https://t.co/DuDCDIlCbg",0.0,0.0,Negative
RT @psy_paris: @BFMTV Ce n'est pas l'#Ukraine mais le régime de Kiev qui parle au nom de l'Ukraine (grosse nuance !). Un régime qui a laiss…,0.0,0.0,Negative
@ukraine_map @DonaldJTrumpJr It was a Russian made missile.,0.0,0.0,Negative
"RT @WatermolenJona2: @femeninna Ne renversez pas les faits !!
Ce missile vient d'Ukraine.
La manœuvre grossière de Piano-bite n'a pas fonct…",0.0,0.0,Negative
@jabuttee @KatrinaNation @washingtonpost ah that's why maté quote tweeted the article. Just spam the truth that ukr… https://t.co/6qm9QX10Nl,0.0,0.0,Negative
"RT @NATO: ❝This is not Ukraine’s fault. Russia bears ultimate responsibility, as it continues its illegal war against Ukraine.❞

@jensstolt…",-0.25,0.75,Positive
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
RT @Polizist_aD: Ich hab da mal ne Frage. Wie reagiert jetzt die Nato? Es waren ukrainische Raketen. Die Ukraine ist kein Nato Partner!!! D…,0.0,0.0,Negative
RT @ANI: Ukraine's a pretty big country. The probability of Russia conquering &amp; overrunning Ukraine is close to zero. We don't see it happe…,0.125,0.55,Negative
"RT @Liveuamap: Ukrainians don't have any issues with cold winter, as some winters in Ukraine are really cold, down to -25C https://t.co/RCF…",-0.451851852,0.762962963,Positive
"RT @berlin_bridge: If NATO isn’t willing to #CloseTheSkies, its members should withdraw objections to #Ukraine striking military sites firi…",0.216666667,0.616666667,Negative
"RT @RealCandaceO: Ukraine is an intelligence operation full stop, hence the Operation Mockingbird level of support for Zelensky. 

Yesterda…",0.35,0.55,Negative
RT @GlasnostGone: Respect to #Poland: Russia's delegation can't attend the session of the Organization for Security &amp; Cooperation in Europe…,0.0,0.0,Negative
RT @CraigMurrayOrg: The Nordstream 2 pipeline allows Russia to send gas to Western Europe without paying transit fees to Ukraine and Poland…,0.0,0.0,Negative
RT @KimDotcom: Ukraine executed the false flag attack on Poland so poorly that there was no chance to blame Russia without losing all credi…,-0.4,0.6,Positive
"RT @fengyunshe: 波兰总统称，造成两人死亡的可能是乌克兰防空导弹
波兰总统杜达周三表示，一枚击中波兰造成两人死亡的导弹可能是乌克兰防空导弹，没有证据表明该事件是俄罗斯的故意袭击，该公告和美国的看法类似，可能会缓解全球对乌克兰战争可能蔓延到邻国的担忧。https:/…",0.0,0.0,Negative
"RT @Dominiquetaegon: This is BIG. 

Polish PM has just come out and said the missiles were most likely to have come from Ukrainian air defe…",0.166666667,0.533333333,Negative
"RT @ProfOsinbajo: I am told by Mr. Olusoji Apampa, CBi Co-Founder that the success recorded is now attracting international reviews as coun…",0.15,0.0,Negative
"RT @RepMTG: I’m calling for an audit of all US aid and funding to Ukraine.

The American people deserve to know how their money is being sp…",0.0,0.0,Negative
@Iran_Ukraine_ میو,0.0,0.0,Negative
"RT @KilledInUkraine: ⚡️ Lieutenant Colonel Вшивцев Александр (Vshivtsev Alexander) from Sernur, Mari El Republic, was killed in Ukraine on…",-0.2,0.0,Positive
,,,
@babbang7 @4wding @Freehandouts1 @JackPosobiec Probably the war in Ukraine.,0.0,0.0,Negative
RT @MriyaReport: Please do not forget the price #Ukraine is paying on a daily basis for OUR freedom. https://t.co/HSwD8la2oS,0.0,0.0,Negative
"RT @ChristopherJM: Responding to Zelensky’s remarks tonight, a NATO country diplomat told me: “This is getting ridiculous. The Ukrainians a…",-0.333333333,1.0,Positive
"RT @RepMTG: I’m calling for an audit of every single penny that has been sent to Ukraine.

This must be done as soon as possible for the Am…",-0.035714286,0.607142857,Positive
"RT @bloombeary: People, who are crying about Ukraine starting WWIII and hitting POLAND with missile, never supported Ukraine in the first p…",0.016666667,0.344444444,Negative
"RT @Dominiquetaegon: This is BIG. 

Polish PM has just come out and said the missiles were most likely to have come from Ukrainian air defe…",0.166666667,0.533333333,Negative
RT @Anerak: I will ask again. Maybe someone has more info now - why is there not a single spontaneous mobile phone shot or film of the 'war…,0.378571429,0.538095238,Negative
RT @Circonscripti18: ⚡📺Discussion tendue au #G20 à #Bali entre #Biden complètement perdu et #Erdogan qui attend une réponse à sa question :…,0.0,0.0,Negative
@M1zxryT @CLG128798 @JackPosobiec That was no accident. It was intended to draw the UN into it. Ukraine should be a… https://t.co/3zyQao8zI2,0.0,0.0,Negative
RT @its_the_Dr: But we give 100 Billion dollars to Ukraine? https://t.co/RIrm8EdcHS,0.0,0.0,Negative
RT @UaNews_online: Sweden has announced its biggest aid package for Ukraine worth SEK 720 million https://t.co/g21w8igm9S,0.3,0.1,Negative
"RT @thatdayin1992: So, is NATO going to invoke Article 5 and attack Ukraine now? https://t.co/ZwKxzqNa8R",0.0,0.0,Negative
@gafr60 The Ukraine crew was ready to start WW3 when they thought it was Russia who fired the missile at Poland.  W… https://t.co/DPSanXu28P,0.2,0.5,Negative
RT @ltgrusselhonore: Time to give #Ukraine long range Missiles/ Drones / long range Air Defense Systems / please @SecDef @POTUS @VP @NATO @…,-0.05,0.4,Positive
@JimRaynorjr25 @nordic_ned @ChristopherJM Why on Earth would you let a suspect conduct independent investigation? E… https://t.co/JW8236g3vi,0.0,0.125,Negative
"RT @UMauerblumchen: Ein russischer Marineoffizier, der an #Putins #Mobilisierungskampagne für den #Krieg in der #Ukraine beteiligt war, ist…",0.0,0.0,Negative
"#Polen #NATO #buendnisfall #Russland #Weltkrieg #Zimmermann #Ukraine #Artikel5 #Angriff ...
Führt zu Schnapatmung bei den Russland Trollen.",0.0,0.0,Negative
"RT @KazimBridges: ⚠️ ACHTUNG ⚠️ 

FÜR GENAU SO DUMM HALTEN SIE DICH 

„Deutschland ist es egal, WESSEN Rakete in Polen abgestürzt ist, auf…",0.0,0.0,Negative
@GuntherEagleman We have a treaty with Ukraine…no one cares what your ridiculous ilk thinks.,-0.333333333,1.0,Positive
"RT @WarMonitor3: Snowing in Kyiv 

Winter is here.

A cold and brutal one to come in Ukraine.",-0.7375,1.0,Positive
"RT @DonaldJTrumpJr: Since it was Ukraine's missile that hit our NATO ally Poland, can we at least stop spending billions to arm them now?",-0.3,0.4,Positive
"RT @UPR_Asselineau: 🔥 FEU D'ARTIFICE
AVEC NOS IMPÔTS 
Vidéo prise en Ukraine aujourd'hui. Un drone suicide tactique russe Lancet (en🇷🇺 : Ла…",0.0,0.0,Negative
"@Nigel_Farage Oh for goodness sake get a grip!!
Tell us who you support- Ukraine or Russia?
A non reply would tell us all",0.0,0.0,Negative
RT @ukrainiansquad: All Ukranians together for Ukraine❤️ https://t.co/zwHMgFKUCR,0.0,0.0,Negative
"RT @UPR_Asselineau: 🔥 FEU D'ARTIFICE
AVEC NOS IMPÔTS 
Vidéo prise en Ukraine aujourd'hui. Un drone suicide tactique russe Lancet (en🇷🇺 : Ла…",0.0,0.0,Negative
RT @JackPosobiec: Ukraine asked for a full-scale NATO intervention yesterday,0.0,0.0,Negative
"RT @TulsiGabbard: Biden Admin is giving blank check to military industrial complex &amp; corrupt bureaucrats in Ukraine, while pushing for 87k…",-0.225,0.375,Positive
"RT @bennyjohnson: UKRAINE tried to start WW3 yesterday when a UKRAINIAN missile struck a NATO country and killed innocent civilians.

Ukrai…",0.15,0.35,Negative
Why is Trudeau still funding the war in Ukraine should he be trying to stop it not giving away 500$ million to Ukraine again,0.0,0.0,Negative
,,,
@my_throw @Hash_ape @Gilles_Bourdin @RoyalSegolene Il a espéré jusqu'au bout aider à faire appliquer les accords de… https://t.co/rqo0BmbgGD,0.0,0.0,Negative
"RT @AndrewSparrow: It's now 'undeniable' that Brexit holding back UK trade, Bank of England expert tells MPs - https://t.co/nNAqoBRYnG",0.0,0.0,Negative
RT @AJEnglish: US and NATO investigating with partners after explosion in Polish village near Ukraine's border kills two people https://t.c…,0.1,0.4,Negative
"RT @Tendar: Russia experienced another larger defeat at the Svatove front. Three T-72B3, relatively modern Russian tank types, have been ca…",0.25,0.425,Negative
"@friedhelm_mosel Friedhelm, ich möchte mich einmal bei dir für die Infos bedanken und wünsche der Ukraine weiter viel Glück und Erfolg",0.0,0.0,Negative
#Ukraine🇺🇦 #UkraineRussianWar: Europas Gasmarkt. https://t.co/mTmsvxzKbA,0.0,0.0,Negative
"RT @RepMTG: I’m calling for an audit of every single penny that has been sent to Ukraine.

This must be done as soon as possible for the Am…",-0.035714286,0.607142857,Positive
RT @SergiyKyslytsya: Security Council begins its meeting on Maintenance of peace &amp; security of Ukraine requested by Council’s members US &amp;…,0.0,0.0,Negative
Your father tried extortion on Zelensky.  It failed. His master Putin wanted #Ukraine for himself. It's obvious to… https://t.co/s3quJGaH03,-0.25,0.4,Positive
"RT @yusufmertsmatip: Yusuf Mert için ÇOK insanın AZ desteğini arıyoruz 🫳🏻

 🚲=50

Birlik beraberlikle Yusuf Mert HAYATA TUTUNACAK🤝🏻

GEÇ OL…",0.0,0.0,Negative
"RT @Tendar: Russia experienced another larger defeat at the Svatove front. Three T-72B3, relatively modern Russian tank types, have been ca…",0.25,0.425,Negative
RT @AldoSterone111: Ron Paul : L'Ukraine a tente de nous pousser dans la troisieme guerre mondiale avec le mensonge,0.0,0.0,Negative
"@JackPosobiec You want them to focus on Brazil, and in the same breath say that the Ukraine doesn’t concern us? I don’t get it",0.0,0.125,Negative
"RT @SevimDagdelen: Sind jetzt die #USA , die von einer ukranischen #Rakete in #Polen spricht, für die #Ukraine auch schon Teil einer von #R…",0.0,0.0,Negative
RT @WCKitchen: We cannot forget Ukraine. 🇺🇦 Many communities across this resilient nation are entering winter without heat. They need our s…,0.5,0.5,Negative
"RT @RepMTG: The missile attack killing two innocent people in Poland was likely from Ukrainian Air Defense.

We must stop letting Zelensky…",0.25,0.85,Negative
"RT @f_philippot: - Zelensky dit que la Russie a attaqué la Pologne
- Même les Américains répondent que le missile vient d’Ukraine
- Zelensk…",0.0,0.0,Negative
"@Reuters Rather, the corruption of Democrats and laundering money with Ukraine",0.0,0.0,Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
"RT @DietmarPichler1: Isn't it sad to see how ""normal"" Russian missile strikes on Ukraine became, like if Ukrainians are only ""second class…",-0.07,0.53,Positive
"RT @sophielouisecc: If tax rises are bought in tomorrow's statement. 

We must protest them greatly.

It is preposterous that a government…",0.8,0.75,Negative
RT @dsarres1: @L_Bednarz Sie lügen! Es waren die Terroristen von dem TerrorRegime der West Ukraine! Zum Glück wurde vom Westen nicht der Kn…,0.0,0.0,Negative
@TPostMillennial Fuck that. Stop funding Ukraine,-0.4,0.6,Positive
RT @GerardAraud: L’administration Biden a géré avec retenue l’incident de la chute de missiles en Pologne. C’est à l’image d’une politique…,0.0,0.0,Negative
RT @nicupopescu: Parts of Moldova are experiencing power outages as a result of Russia's missiles hitting Ukrainian cities &amp; vital infrastr…,0.1,0.4,Negative
"RT @MEKowalski: @IAPonomarenko As a Polish citizen I demand a full heartfelt apology from Zelensky, and huge reparations from Ukraine to Po…",0.25,0.816666667,Negative
"RT @ChristopherJM: Responding to Zelensky’s remarks tonight, a NATO country diplomat told me: “This is getting ridiculous. The Ukrainians a…",-0.333333333,1.0,Positive
"RT @GuntherEagleman: Remember, RINO Mitch McConnell went to Ukraine… He is in on it too.",0.0,0.0,Negative
RT @damnitsbts: And Europeans have a lot of balls and audacity to speak about brown immigrants as if earlier this year we didn’t see yall b…,0.0,0.5,Negative
"Memati baş racon videosu yayında 
https://t.co/DFDpbpGZWV
#SezaiKarakoc #Artemis #Crypto #GRAMMYs #Artemis1… https://t.co/wzeVBsJ2L5",0.0,0.0,Negative
RT @MayraFlores2022: Not a penny more should be sent to Ukraine until a full detailed investigation and audit is done.,0.416666667,0.6,Negative
"The Moscow Times: Nearly 1 in 3 Prisoners Freed by Retreating Russians Recaptured, Ukraine Says.
https://t.co/omfBHA3XGX

via @GoogleNews",0.1,0.4,Negative
@ukraine_map @nexta_tv He only want evidence is not a false narrative. With evidence Ukraine would have official comments.,0.1,0.8,Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
"RT @ericgeller: Telling comment by Andrew Boyd, head of CIA's Center for Cyber Intelligence: While discussing increasing role of cyber merc…",-0.1,0.1,Positive
"RT @SLThank4thefish: So, Ukraine (our ally) mistakenly fires missiles into Poland (a NATO member), publicly and repeatedly confidently blam…",0.25,0.45,Negative
"@JStarbux @BaddCompani with US backing of course, Can you show me the,Ukraine borders in 1400. 1600 1920 please.  G… https://t.co/z9wrDtbeJY",0.0,0.0,Negative
"RT @RepMTG: I’m calling for an audit of all US aid and funding to Ukraine.

The American people deserve to know how their money is being sp…",0.0,0.0,Negative
@ukrainetrain @BritishDale @mhmck Well that is the same as dropping a dirty bomb. The US said that they would anihi… https://t.co/MtavJLrE0r,-0.3,0.4625,Positive
"RT @Faytuks: Ukraine and western allies at odds over missile that exploded in Poland - FT https://t.co/G02yEgRffg

https://t.co/bGoEcpraCt",0.0,0.0,Negative
"RT @wardcarroll: Here's @Justin_Br0nk's (damn good) logic for continued U.S. military support for Ukraine.
See the entire conversation here…",0.2,0.441666667,Negative
"RT @TheCejrowski: No i się trochę wyjaśniło o co chodziło:
1 Biden przekazał na Ukrainę pieniądze amerykańskich podatników.
2 Ukraina wsadz…",0.0,0.0,Negative
RT @DmytroKuleba: Russian missiles are killing people and ruining infrastructure across Ukraine right now. This is what Russia has to say o…,0.142857143,0.267857143,Negative
"RT @TpyxaNews: “Germany does not care whose rocket fell in Poland, in any case Russia is to blame, because it attacked Ukraine” — Olaf Scho…",0.0,0.0,Negative
RT @KimDotcom: If Ukraine doesn’t get reinforcements Russia will crush them this winter. The missile strike in Poland may be the entry even…,0.0,0.0,Negative
"RT @DaxMorgan: So, if it was a Ukrainian S-300 missile that hit Poland and killed two of its citizens, does that now trigger an Article 5 r…",-0.2,0.0,Positive
@LunaLunatyk @Dpol_un The Ukrainians have been attacking and killing Russian supporters in Donbas for years trigger… https://t.co/yR6xFaSKv0,0.0,0.0,Negative
"RT @KyivIndependent: ⚡️Pentagon chief: NASAMS intercept all Russian missiles in Ukraine. 

The U.S. Defense Secretary Lloyd Austin said tha…",0.0,0.0,Negative
RT @MriyaReport: Please do not forget the price #Ukraine is paying on a daily basis for OUR freedom. https://t.co/HSwD8la2oS,0.0,0.0,Negative
RT @jabuttee: 🧵 @KatrinaNation has been writing a @washingtonpost opinion piece on Ukraine once a month. The people she quotes and referenc…,0.0,0.0,Negative
@ianbremmer @DavidSacks You &amp; many others threw stones at Elon when he tweeted his idea for peace. Elon didn't twee… https://t.co/XwP71R5Tsf,0.5,0.5,Negative
RT @_omarolivares: @TheShadeRoom @AP @GettyImages Ukraine said they needed more money Biden sait they should be grateful for the help they'…,0.5,0.5,Negative
RT @JackGDekker4: Was de Ukraine!,0.0,0.0,Negative
"History happens in cycles, when people don't learn from the mistakes of the past.  The UN Peacekeeping Force in Bos… https://t.co/fdGglsEezy",-0.25,0.25,Positive
"RT @bennyjohnson: UKRAINE tried to start WW3 yesterday when a UKRAINIAN missile struck a NATO country and killed innocent civilians.

Ukrai…",0.15,0.35,Negative
,,,
"RT @JackPosobiec: US officials now admit blast in Poland caused by stray missile fired by Ukraine

https://t.co/6fBF2ldG6j",0.0,0.0,Negative
@bennyjohnson How much are you getting from Putin?  Russia launch 90 + drone attack on Ukraine.  Ukraine fires a s.… https://t.co/5I5EaHTd7K,0.2,0.2,Negative
"RT @Flash_news_ua: The Chairman of the Joint Chiefs of Staff, General Mark Milley, said that Russia had failed ""every single"" goal in its w…",-0.173809524,0.338095238,Positive
"@wojczakowsks @Comisarex1 @wolski_jaros @DawidKamizela @MarcinNiedbala Przyczyną jest wojna, jakby Rosja na Ukrainę… https://t.co/qEgND9Pao7",0.0,0.0,Negative
"RT @Sujodamystique: Everybody went from

""Russia must pay for firing those missiles at Poland that killed 2 people!!Its a declaration of wa…",-0.2,0.0,Positive
"RT @atrupar: Gen. Milley commits to supporting Ukraine: ""This is a war that Russia's leadership has chosen to put Russia into. They didn't…",0.25,0.25,Negative
RT @MriyaReport: Please do not forget the price #Ukraine is paying on a daily basis for OUR freedom. https://t.co/HSwD8la2oS,0.0,0.0,Negative
"RT @RepMTG: I’m calling for an audit of every single penny that has been sent to Ukraine.

This must be done as soon as possible for the Am…",-0.035714286,0.607142857,Positive
https://t.co/QO035jdFWD,0.0,0.0,Negative
RT @DmytroKuleba: Ukraine reaffirms its full solidarity with Poland and stands ready to provide any necessary support. Collective response…,0.183333333,0.683333333,Negative
"RT @GuntherEagleman: Remember, RINO Mitch McConnell went to Ukraine… He is in on it too.",0.0,0.0,Negative
"RT @RealCalebMaupin: Watch Rosemary DiCarlo, UN Under-Secretary General do a tap dance before #UNSC 

She's more or less saying ""Russia doe…",0.127777778,0.355555556,Negative
"RT @Sujodamystique: Everybody went from

""Russia must pay for firing those missiles at Poland that killed 2 people!!Its a declaration of wa…",-0.2,0.0,Positive
RT @RoyalSegolene: #Ukraine  pdt des heures une fausse information sur la #Pologne a semé la peur et l’escalade des menaces. Il faut des sa…,0.0,0.0,Negative
@N76247476Man It’s getting out of hand now. I Tweeted last week that high officials from Ukraine are buying propert… https://t.co/Qf18kYC7km,0.08,0.303333333,Negative
"RT @bennyjohnson: UKRAINE tried to start WW3 yesterday when a UKRAINIAN missile struck a NATO country and killed innocent civilians.

Ukrai…",0.15,0.35,Negative
RT @Oilfield_Rando: You anti-MAGA repubs that think Joe Kent was a bad candidate are gonna bitch at people like me when we don’t vote for r…,-0.7,0.666666667,Positive
Good news.  Free up China supply chain and the war in Ukraine and there is a lot of upside. https://t.co/qoWClCBb38,0.55,0.7,Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
"RT @Ukraine66251776: Breaking
2 Patriot missile batteries installed by the United States on Poland's Ukraine border completely failed today…",-0.5,0.3,Positive
"RT @AZgeopolitics: 🇵🇱🇺🇦🚀Responding to Zelensky’s remarks tonight about the denial,a NATO country diplomat told me: “This is getting ridicul…",0.0,0.0,Negative
RT @IsuphJt: Zelensky publicly splitting with USG assessment despite Biden stating Ukraine owns the missile Means Zelensky is seeking to dr…,0.0,0.066666667,Negative
"RT @bennyjohnson: UKRAINE tried to start WW3 yesterday when a UKRAINIAN missile struck a NATO country and killed innocent civilians.

Ukrai…",0.15,0.35,Negative
RT @avischarf: WSJ exculsive: Ukraine managed to land an Iranian Mohajer6 drone used by Russia. They found majority of parts originate in t…,0.0,0.0,Negative
"RT @mjluxmoore: Another video from Kherson region. Ukraine is advancing cautiously towards Kherson City, where its military expects some na…",-0.1,0.1,Positive
RT @bennyjohnson: Did Democrats get CAUGHT in massive MULTI-MILLION-dollar Ukraine laundering scheme?! Media SILENT https://t.co/Vt6hBYbmBX,0.0,0.55,Negative
https://t.co/iYcyrECblj,0.0,0.0,Negative
"RT @4HumanUnity: @JoeBiden Well shall we see Trump's achievements?

1. Gave over $1.6 TRILLION(21 times aid to Ukraine)in tax breaks 2 ultr…",0.0,0.0,Negative
"RT @ChristopherJM: Responding to Zelensky’s remarks tonight, a NATO country diplomat told me: “This is getting ridiculous. The Ukrainians a…",-0.333333333,1.0,Positive
"RT @BenoitBoullay: Quand on pense que Macron a donné 1/3 de notre artillerie à l'Ukraine, c'est quand même d'une incroyable légèreté à la l…",0.0,0.0,Negative
"RT @ianbremmer: us govt now saying out loud what everyone has been saying privately for months:

complete removal of russian troops from uk…",0.05,0.39375,Negative
"RT @AZgeopolitics: ‼️🇺🇦🇦🇿Ukraine supplied Azerbaijan with white phosphorus ammunition, which was used during the fighting over Nagorno-Kara…",0.0,0.0,Negative
@eddiethezarr @freddouglass765 @ChagrinDaily @splendidthough @coldwarsteve @Nigel_Farage Putin is not Hitler. Russi… https://t.co/GRdb82Au2V,0.0,0.0,Negative
"@Burzi92471427 Wo bleibt die Reaktion Deutschland's und der NATO gegen di Ukraine, sie haben NATO-Gebiet angegriffe… https://t.co/2YXUavmBbN",0.0,0.0,Negative
"RT @KyivIndependent: ""Russian goal seems to be to entrench and defend for the next several months, and then attempt a new offensive in the…",0.034090909,0.113636364,Negative
@juergenreinhar2 (S+) Raketenschläge gegen Energieversorgung: Russland will die Ukrainer mürbe bomben… https://t.co/OZ5aWO3FXs,0.0,0.0,Negative
"RT @KyivIndependent: ⚡️Pentagon chief: NASAMS intercept all Russian missiles in Ukraine. 

The U.S. Defense Secretary Lloyd Austin said tha…",0.0,0.0,Negative
"RT @terischultz: JUST IN: 
There's no sign Russia is preparing offensive attacks against #NATO, says Secretary General Stoltenberg, after l…",0.05,0.5,Negative
RT @avischarf: WSJ exculsive: Ukraine managed to land an Iranian Mohajer6 drone used by Russia. They found majority of parts originate in t…,0.0,0.0,Negative
"RT @n_roettgen: Ein möglichst schnelles Ende des Krieges reduziert auch das Risiko, dass es zu weiteren Vorfällen wie in #Polen kommt. Dafü…",0.0,0.0,Negative
RT @WarMonitor3: NASAM air defences are operating to great efficiency in Ukraine.,0.8,0.75,Negative
Judicial Watch - Judicial Watch: Defense Department Records Reveal U.S. Funding of Anthrax Laboratory Activities in… https://t.co/dy0DufRB1W,0.0,0.0,Negative
"RT @KeninSatx: @poco_bc @RichardMonigold @ggreenwald No. A lot of the US Government money for Ukraine was ""invested"" in FTX crypto, which w…",0.0,0.0,Negative
RT @GlasnostGone: Damming assessment of Putin's invasion of #Ukraine. US Joint Chiefs of Staff Chairman Gen. Mark Milley says “Russians fai…,0.0,0.0,Negative
"RT @TheGrayzoneNews: Blowback: Italian police bust Azov-tied Nazi terror cell planning terror attacks

A series of arrests highlight the te…",0.0,0.0,Negative
"Prawie 100 rakiet manewrujących oraz kilkanaście irańskich dronów wystrzelonych na Ukrainę oznacza, że był to najwi… https://t.co/EGYVhvb1B6",0.0,0.0,Negative
"RT @bennyjohnson: UKRAINE tried to start WW3 yesterday when a UKRAINIAN missile struck a NATO country and killed innocent civilians.

Ukrai…",0.15,0.35,Negative
