Tweet,polarity,subjectivity,Sentiment
,,,
"Top US general at odds with State Dept on Ukraine
(w/ Doug Macgregor) https://t.co/OIaV8iVSIm
@aaronjmate @TheGrayzoneNews",0.275,0.5,Negative
"Never mind the @StateDept &amp; @CIA-engineered 2014 Maidan coup, the fortune in US tax dollars spent on arming &amp; train… https://t.co/Bav7scS6ro",-0.1,0.1,Positive
"RT @Alice_Weidel: Die #Ukraine ehrt 3 deutsche Journalisten mit einem Verdienstorden - weil die mit dafür gesorgt hätten, deutsche Waffen i…",0.0,0.0,Negative
"RT @TobiAyodele: 🇷🇺🇺🇦After Russia missile strike on Ukraine military command including energy facilities , it seems Russia has finished it…",-0.1,0.1,Positive
RT @MayraFlores2022: Not a penny more should be sent to Ukraine until a full detailed investigation and audit is done.,0.416666667,0.6,Negative
RT @ajamubaraka: The comments by the actor president of Ukraine on the missile strike in Poland demonstrated once again why his reckless &amp;…,0.0,0.0,Negative
"RT @RepMTG: I’m calling for an audit of every single penny that has been sent to Ukraine.

This must be done as soon as possible for the Am…",-0.035714286,0.607142857,Positive
"RT @guetta_en: Devant un incendiaire aux abois, l'essentiel est de serrer les rangs et garder son calme. #Pologne #OTAN #Ukraine #Russie",0.0,0.0,Negative
"RT @rising_serpent: Whether through stupidity or willful malice, the GOP spent the last 9 months diverting taxpayer dollars to Democrat cam…",-0.233333333,0.388888889,Positive
"RT @RepMTG: The missile attack killing two innocent people in Poland was likely from Ukrainian Air Defense.

We must stop letting Zelensky…",0.25,0.85,Negative
"RT @Flash_news_ua: The Chairman of the Joint Chiefs of Staff, General Mark Milley, said that Russia had failed ""every single"" goal in its w…",-0.173809524,0.338095238,Positive
"RT @saintjavelin: We’ll take back everything that belongs to Ukraine. Including the racoon. Especially the Saint Racoon of Kherson. 

https…",0.0,0.5,Negative
You broke my balls!  We are no longer willing to indulge in your demands!  Isn't it just Ukraine?  How many billion… https://t.co/VAPzSTEPrj,0.40625,0.625,Negative
"RT @BackAndAlive: Майже 60 мільйонів гривень🔥 

За добу ми з вами і @igorlachenkov зібрали на «Black box» загалом 59 942 270 грн. 
 
Але на…",0.0,0.0,Negative
"RT @ggreenwald: US funding for war in Ukraine in 9 months:

Mar: $ 13.6 billion
May: $ 40b 
Nov: $ 37.7b: Biden's new request

That $ 91.3…",0.136363636,0.454545455,Negative
"RT @TulsiGabbard: Biden Admin is giving blank check to military industrial complex &amp; corrupt bureaucrats in Ukraine, while pushing for 87k…",-0.225,0.375,Positive
RT @canmericanized: Ukraine can sort itself out. IDGAF nor do I feel obliged to pay for this bullshit.,0.0,0.0,Negative
RT @willchamberlain: Pretty obvious that the biggest national security threat we face is Ukraine lying us into World War III,0.125,0.75,Negative
"@CNEWS Résumons VDL est dans la merde avec Pfizer, les démocrates se servent de l'Ukraine pour : développer des vir… https://t.co/DYE3Z8Q2cj",0.0,0.0,Negative
,,,
@ATdriver_ Came out pretty quickly that the missiles didn’t come from Russian territory. Still not 100% sure if it… https://t.co/nWvMWCd387,0.270833333,0.597222222,Negative
@visionterritoir @Onrestezen341 @GrablyR Je ne vois pas le rapport avec les rapports d'Amnesty International sur le… https://t.co/LsTdQXoAaw,0.0,0.0,Negative
"@washingtonpost Election fraud again, had traps set up to drain the swamp, Ukraine is about the Cabal aka the Great… https://t.co/Xk85HpXouL",0.0,0.0,Negative
"1/4 16/11/2022 Pologne : La Pologne considère l'incident du missile comme une provocation de l'Ukraine.
Le chef du… https://t.co/Ee7FsvAVlP",0.0,0.0,Negative
Laura Branigan - Self Control - All Night Fuji (1984) https://t.co/DLQUkXGOso via @YouTubeMusic God save Ukraine 🇺🇦🙏🏼,0.0,0.0,Negative
"RT @sumlenny: Russian missiles hit Polish Przewodow directly at the electricity power line which connects the EU with Ukraine, close to Dob…",0.05,0.2,Negative
@MunSecConf I am condemning Russia's agression on Ukraine.Are your goals to stop conflicts everywhere they exists t… https://t.co/gxXObB7QQl,0.0,0.0,Negative
RT @nev101101: Inflation is the highest since 1981. Who was in power in 1981? The Tories. There are two reasons apart from the war in Ukrai…,0.0,0.0,Negative
"RT @DonaldJTrumpJr: Since it was Ukraine's missile that hit our NATO ally Poland, can we at least stop spending billions to arm them now?",-0.3,0.4,Positive
RT @PamelaHensley22: White House requests $37.7 billion in new Ukraine funding. More money to launder to Democrat campaigns?,0.212121212,0.318181818,Negative
"RT @DickDelingpole: Russia hits Poland with missile: Act of war. 
Ukraine hits Poland with missile: Meh, it could happen to anyone.",0.0,0.0,Negative
"RT @TobiAyodele: 🇺🇸🇺🇦FOX News : ""Democrats send money to Ukraine, Ukraine sends money to FTX , FTX sends money to the Democrats' campaign,…",0.0,0.0,Negative
"Pas nos caesar putain ...

Bon pas forcément détruit , peut-être juste endommagé.

Les Lancet commencent à produire… https://t.co/uphvB3rcHQ",0.0,0.0,Negative
RT @Polizist_aD: Ich hab da mal ne Frage. Wie reagiert jetzt die Nato? Es waren ukrainische Raketen. Die Ukraine ist kein Nato Partner!!! D…,0.0,0.0,Negative
